Rk,Player,Squad,Club,Age,MP_WC,Saves_WC,SoTA_WC,SavePct_WC,CS_WC,GA90_WC,MP_DOM,Saves_DOM,SavePct_DOM,CS_DOM,GA90_DOM,Rating,Highlight,Opponents,Local_File,Relative_Path,Avatar,Story
42,Jalal Hassan,Iraq,Al-Zawra'a SC,28,3,8,16,50.0,0,5.33,25,8,50.0,0,5.33,5.2,World Cup Participant,"France, Senegal, Norway",gk_24_Jalal_Hassan.jpg,goalkeeper_images/gk_24_Jalal_Hassan.jpg,goalkeeper_images/gk_24_Jalal_Hassan.jpg,"**World Cup**: 3 MP, 16 SoTA, 8 Saves, 50.0% Save%, 0 CS | **Domestic (Al-Zawra'a SC)**: 25 MP, 8 Saves, 50.0% Save%, 0 CS"
43,Orlando Mosquera,Panama,Al-Fayha,28,3,7,11,63.6,0,1.33,25,92,64.8,7,1.56,5.2,World Cup Participant,"England, Croatia, Ghana",gk_33_Orlando_Mosquera.jpg,goalkeeper_images/gk_33_Orlando_Mosquera.jpg,goalkeeper_images/gk_33_Orlando_Mosquera.jpg,"**World Cup**: 3 MP, 11 SoTA, 7 Saves, 63.6% Save%, 0 CS | **Domestic (Al-Fayha)**: 25 MP, 92 Saves, 64.8% Save%, 7 CS"
44,Maxime Crépeau,Canada,Orlando City,28,3,6,12,50.0,2,1.2,25,69,61.6,1,3.04,5.2,World Cup Participant,"Bosnia, Qatar, Switzerland",gk_15_Maxime_Cr_peau.jpg,goalkeeper_images/gk_15_Maxime_Cr_peau.jpg,goalkeeper_images/gk_15_Maxime_Cr_peau.jpg,"**World Cup**: 3 MP, 12 SoTA, 6 Saves, 50.0% Save%, 2 CS | **Domestic (Orlando City)**: 25 MP, 69 Saves, 61.6% Save%, 1 CS"
45,Nikola Vasilj,Bosnia–Herz,St Pauli,28,3,6,14,42.9,0,2.0,25,123,67.2,5,1.76,5.2,World Cup Participant,"Canada, Qatar, Switzerland",gk_56_Nikola_Vasilj.jpg,goalkeeper_images/gk_56_Nikola_Vasilj.jpg,goalkeeper_images/gk_56_Nikola_Vasilj.jpg,"**World Cup**: 3 MP, 14 SoTA, 6 Saves, 42.9% Save%, 0 CS | **Domestic (St Pauli)**: 25 MP, 123 Saves, 67.2% Save%, 5 CS"
46,Dean Henderson,England,Crystal Palace,28,3,5,9,55.6,0,4.0,25,104,67.3,11,1.38,5.2,Semifinalists (3rd Place) 🥉,"Croatia, Panama, Ghana",gk_25_Dean_Henderson.jpg,goalkeeper_images/gk_25_Dean_Henderson.jpg,goalkeeper_images/gk_25_Dean_Henderson.jpg,"**World Cup**: 3 MP, 9 SoTA, 5 Saves, 55.6% Save%, 0 CS | **Domestic (Crystal Palace)**: 25 MP, 104 Saves, 67.3% Save%, 11 CS"
47,Egil Selvik,Norway,Watford,28,3,5,9,55.6,0,4.0,25,5,55.6,0,4.0,5.2,Round of 16 (Biggest Climb +12),"France, Senegal, Iraq",gk_49_Egil_Selvik.jpg,goalkeeper_images/gk_49_Egil_Selvik.jpg,goalkeeper_images/gk_49_Egil_Selvik.jpg,"**World Cup**: 3 MP, 9 SoTA, 5 Saves, 55.6% Save%, 0 CS | **Domestic (Watford)**: 25 MP, 5 Saves, 55.6% Save%, 0 CS"
48,Manuel Neuer,Germany,Bayern Munich,28,4,5,10,50.0,0,1.15,23,31,60.8,7,0.97,5.2,Round of 16,"Curaçao, Ivory Coast, Ecuador",gk_37_Manuel_Neuer.jpg,goalkeeper_images/gk_37_Manuel_Neuer.jpg,goalkeeper_images/gk_37_Manuel_Neuer.jpg,"**World Cup**: 4 MP, 10 SoTA, 5 Saves, 50.0% Save%, 0 CS | **Domestic (Bayern Munich)**: 23 MP, 31 Saves, 60.8% Save%, 7 CS"
49,Aymen Dahmen,Tunisia,Ahly Sfaxien,28,3,5,12,41.7,0,3.5,25,5,41.7,0,3.5,5.2,World Cup Participant,"Netherlands, Japan, Sweden",gk_17_Aymen_Dahmen.jpg,goalkeeper_images/gk_17_Aymen_Dahmen.jpg,goalkeeper_images/gk_17_Aymen_Dahmen.jpg,"**World Cup**: 3 MP, 12 SoTA, 5 Saves, 41.7% Save%, 0 CS | **Domestic (Ahly Sfaxien)**: 25 MP, 5 Saves, 41.7% Save%, 0 CS"
50,Abduvohid Nematov,Uzbekistan,FC Nasaf,28,3,5,13,38.5,0,4.0,25,5,38.5,0,4.0,5.2,World Cup Participant,"Portugal, DR Congo, Colombia",gk_36_Abduvohid_Nematov.jpg,goalkeeper_images/gk_36_Abduvohid_Nematov.jpg,goalkeeper_images/gk_36_Abduvohid_Nematov.jpg,"**World Cup**: 3 MP, 13 SoTA, 5 Saves, 38.5% Save%, 0 CS | **Domestic (FC Nasaf)**: 25 MP, 5 Saves, 38.5% Save%, 0 CS"
51,Mory Diaw,Senegal,Le Havre,28,3,4,7,57.1,1,1.13,25,80,66.1,7,1.39,5.2,Round of 32,"France, Iraq, Norway",gk_18_Mory_Diaw.jpg,goalkeeper_images/gk_18_Mory_Diaw.jpg,goalkeeper_images/gk_18_Mory_Diaw.jpg,"**World Cup**: 3 MP, 7 SoTA, 4 Saves, 57.1% Save%, 1 CS | **Domestic (Le Havre)**: 25 MP, 80 Saves, 66.1% Save%, 7 CS"
52,Fernando Muslera,Uruguay,Galatasaray,28,3,4,8,50.0,0,1.6,25,4,50.0,0,1.6,5.2,World Cup Participant,"Spain, Cabo Verde, Saudi Arabia",gk_35_Fernando_Muslera.jpg,goalkeeper_images/gk_35_Fernando_Muslera.jpg,goalkeeper_images/gk_35_Fernando_Muslera.jpg,"**World Cup**: 3 MP, 8 SoTA, 4 Saves, 50.0% Save%, 0 CS | **Domestic (Galatasaray)**: 25 MP, 4 Saves, 50.0% Save%, 0 CS"
53,Ahmed Basil,Iraq,Al-Shorta,28,3,3,7,42.9,0,2.67,25,3,42.9,0,2.67,5.2,World Cup Participant,"France, Senegal, Norway",gk_06_Ahmed_Basil.jpg,goalkeeper_images/gk_06_Ahmed_Basil.jpg,goalkeeper_images/gk_06_Ahmed_Basil.jpg,"**World Cup**: 3 MP, 7 SoTA, 3 Saves, 42.9% Save%, 0 CS | **Domestic (Al-Shorta)**: 25 MP, 3 Saves, 42.9% Save%, 0 CS"
54,Kristoffer Nordfeldt,Sweden,AIK Stockholm,28,3,3,9,33.3,0,3.0,25,3,33.3,0,3.0,5.2,World Cup Participant,"Netherlands, Japan, Tunisia",gk_38_Kristoffer_Nordfeldt.jpg,goalkeeper_images/gk_38_Kristoffer_Nordfeldt.jpg,goalkeeper_images/gk_38_Kristoffer_Nordfeldt.jpg,"**World Cup**: 3 MP, 9 SoTA, 3 Saves, 33.3% Save%, 0 CS | **Domestic (AIK Stockholm)**: 25 MP, 3 Saves, 33.3% Save%, 0 CS"
55,Senne Lammens,Belgium,Manchester Utd,28,3,2,3,66.7,0,4.5,25,78,66.9,8,1.22,5.2,Quarterfinalists,"Egypt, Iran, New Zealand",gk_28_Senne_Lammens.jpg,goalkeeper_images/gk_28_Senne_Lammens.jpg,goalkeeper_images/gk_28_Senne_Lammens.jpg,"**World Cup**: 3 MP, 3 SoTA, 2 Saves, 66.7% Save%, 0 CS | **Domestic (Manchester Utd)**: 25 MP, 78 Saves, 66.9% Save%, 8 CS"
56,Utkir Yusupov,Uzbekistan,Navbahor,28,3,1,4,25.0,0,3.0,25,1,25.0,0,3.0,5.2,World Cup Participant,"Portugal, DR Congo, Colombia",gk_61_Utkir_Yusupov.jpg,goalkeeper_images/gk_61_Utkir_Yusupov.jpg,goalkeeper_images/gk_61_Utkir_Yusupov.jpg,"**World Cup**: 3 MP, 4 SoTA, 1 Saves, 25.0% Save%, 0 CS | **Domestic (Navbahor)**: 25 MP, 1 Saves, 25.0% Save%, 0 CS"
57,Mouhib Chamakh,Tunisia,Club Africain,28,3,1,6,16.7,0,5.0,25,1,16.7,0,5.0,5.2,World Cup Participant,"Netherlands, Japan, Sweden",gk_12_Mouhib_Chamakh.jpg,goalkeeper_images/gk_12_Mouhib_Chamakh.jpg,goalkeeper_images/gk_12_Mouhib_Chamakh.jpg,"**World Cup**: 3 MP, 6 SoTA, 1 Saves, 16.7% Save%, 0 CS | **Domestic (Club Africain)**: 25 MP, 1 Saves, 16.7% Save%, 0 CS"
58,Guillermo Ochoa,Mexico,AEL Limassol,28,1,0,0,50.0,1,0.0,22,0,65.0,1,0.0,5.2,Round of 16 (Co-hosts),"South Africa, South Korea, Czechia",gk_40_Guillermo_Ochoa.jpg,goalkeeper_images/gk_40_Guillermo_Ochoa.jpg,goalkeeper_images/gk_40_Guillermo_Ochoa.jpg,"**World Cup**: 1 MP, 0 SoTA, 0 Saves, 50.0% Save%, 1 CS | **Domestic (AEL Limassol)**: 22 MP, 0 Saves, 65.0% Save%, 1 CS"
59,Mathew Ryan,Australia,Levante,28,4,0,0,50.0,0,0.0,25,124,68.9,9,1.56,5.2,Round of 32,"USA, Paraguay, Türkiye",gk_47_Mathew_Ryan.jpg,goalkeeper_images/gk_47_Mathew_Ryan.jpg,goalkeeper_images/gk_47_Mathew_Ryan.jpg,"**World Cup**: 4 MP, 0 SoTA, 0 Saves, 50.0% Save%, 0 CS | **Domestic (Levante)**: 25 MP, 124 Saves, 68.9% Save%, 9 CS"
60,Sergio Rochet,Uruguay,Internacional,28,3,0,0,50.0,0,0.0,25,0,65.0,0,0.0,5.2,World Cup Participant,"Spain, Cabo Verde, Saudi Arabia",gk_45_Sergio_Rochet.jpg,goalkeeper_images/gk_45_Sergio_Rochet.jpg,goalkeeper_images/gk_45_Sergio_Rochet.jpg,"**World Cup**: 3 MP, 0 SoTA, 0 Saves, 50.0% Save%, 0 CS | **Domestic (Internacional)**: 25 MP, 0 Saves, 65.0% Save%, 0 CS"
61,Matt Turner,United States,NE Revolution,28,5,0,3,0.0,0,3.0,18,62,77.5,4,1.2,5.2,Round of 16 (Co-hosts),"Paraguay, Australia, Türkiye",gk_54_Matt_Turner.jpg,goalkeeper_images/gk_54_Matt_Turner.jpg,goalkeeper_images/gk_54_Matt_Turner.jpg,"**World Cup**: 5 MP, 3 SoTA, 0 Saves, 0.0% Save%, 0 CS | **Domestic (NE Revolution)**: 18 MP, 62 Saves, 77.5% Save%, 4 CS"
62,Oussama Benbot,Algeria,USM Alger,28,3,0,3,0.0,0,3.0,25,0,0.0,0,3.0,5.2,World Cup Participant,"Argentina, Austria, Jordan",gk_09_Oussama_Benbot.jpg,goalkeeper_images/gk_09_Oussama_Benbot.jpg,goalkeeper_images/gk_09_Oussama_Benbot.jpg,"**World Cup**: 3 MP, 3 SoTA, 0 Saves, 0.0% Save%, 0 CS | **Domestic (USM Alger)**: 25 MP, 0 Saves, 0.0% Save%, 0 CS"
