Rk,Player,Squad_DOM,Club_DOM,Rating_10,MP_DOM,Saves_DOM,SoTA_DOM,SavePct_DOM,CS_DOM,GA90_DOM,Comparative_Story
33,Dominik Livaković,Croatia,1.hr Dinamo Zagreb,5.5,34,10,17,58.8,1,1.75,"**World Cup**: 4 MP, 17 SoTA, 10 Saves, 58.8% Save%, 1 CS | **Domestic (Dinamo Zagreb)**: 34 MP, 10 Saves, 58.8% Save%, 1 CS"
34,Angus Gunn,Scotland,Nottingham,5.5,25,0,0,65.0,0,0.0,"**World Cup**: 3 MP, 12 SoTA, 8 Saves, 66.7% Save%, 1 CS | **Domestic (Nottingham)**: 25 MP, 0 Saves, 65.0% Save%, 0 CS"
35,Max Crocombe,New Zealand,2.eng Millwall,5.4,25,11,21,52.4,0,3.33,"**World Cup**: 3 MP, 21 SoTA, 11 Saves, 52.4% Save%, 0 CS | **Domestic (Millwall)**: 25 MP, 11 Saves, 52.4% Save%, 0 CS"
36,Matej Kovar,Czechia,1.nl PSV,5.3,25,9,15,60.0,0,2.0,"**World Cup**: 3 MP, 15 SoTA, 9 Saves, 60.0% Save%, 0 CS | **Domestic (PSV)**: 25 MP, 9 Saves, 60.0% Save%, 0 CS"
37,Matt Freese,United States,NYCFC,5.2,25,54,76,71.1,3,1.37,"**World Cup**: 3 MP, 13 SoTA, 8 Saves, 61.5% Save%, 2 CS | **Domestic (NYCFC)**: 25 MP, 54 Saves, 71.1% Save%, 3 CS"
38,Uğurcan Çakır,Türkiye,1.tr Galatasaray,5.2,25,8,13,61.5,0,1.67,"**World Cup**: 3 MP, 13 SoTA, 8 Saves, 61.5% Save%, 0 CS | **Domestic (Galatasaray)**: 25 MP, 8 Saves, 61.5% Save%, 0 CS"
39,Luca Zidane,Algeria,2.es Granada,5.2,25,8,14,57.1,0,2.0,"**World Cup**: 3 MP, 14 SoTA, 8 Saves, 57.1% Save%, 0 CS | **Domestic (Granada)**: 25 MP, 8 Saves, 57.1% Save%, 0 CS"
40,Édouard Mendy,Senegal,Al-Ahli,5.2,25,43,61,70.5,14,0.69,"**World Cup**: 4 MP, 14 SoTA, 8 Saves, 57.1% Save%, 0 CS | **Domestic (Al-Ahli)**: 25 MP, 43 Saves, 70.5% Save%, 14 CS"
41,Yazeed Abulaila,Jordan,1.jo Al-Hussein SC,5.2,25,8,16,50.0,0,2.67,"**World Cup**: 3 MP, 16 SoTA, 8 Saves, 50.0% Save%, 0 CS | **Domestic (Al-Hussein SC)**: 25 MP, 8 Saves, 50.0% Save%, 0 CS"
42,Jalal Hassan,Iraq,1.iq Al-Zawra'a SC,5.2,25,8,16,50.0,0,5.33,"**World Cup**: 3 MP, 16 SoTA, 8 Saves, 50.0% Save%, 0 CS | **Domestic (Al-Zawra'a SC)**: 25 MP, 8 Saves, 50.0% Save%, 0 CS"
43,Orlando Mosquera,Panama,Al-Fayha,5.2,25,92,142,64.8,7,1.56,"**World Cup**: 3 MP, 11 SoTA, 7 Saves, 63.6% Save%, 0 CS | **Domestic (Al-Fayha)**: 25 MP, 92 Saves, 64.8% Save%, 7 CS"
44,Maxime Crépeau,Canada,Orlando City,5.2,25,69,112,61.6,1,3.04,"**World Cup**: 3 MP, 12 SoTA, 6 Saves, 50.0% Save%, 2 CS | **Domestic (Orlando City)**: 25 MP, 69 Saves, 61.6% Save%, 1 CS"
45,Nikola Vasilj,Bosnia–Herz,St Pauli,5.2,25,123,183,67.2,5,1.76,"**World Cup**: 3 MP, 14 SoTA, 6 Saves, 42.9% Save%, 0 CS | **Domestic (St Pauli)**: 25 MP, 123 Saves, 67.2% Save%, 5 CS"
46,Dean Henderson,England,Crystal Palace,5.2,25,104,156,67.3,11,1.38,"**World Cup**: 3 MP, 9 SoTA, 5 Saves, 55.6% Save%, 0 CS | **Domestic (Crystal Palace)**: 25 MP, 104 Saves, 67.3% Save%, 11 CS"
47,Egil Selvik,Norway,2.eng Watford,5.2,25,5,9,55.6,0,4.0,"**World Cup**: 3 MP, 9 SoTA, 5 Saves, 55.6% Save%, 0 CS | **Domestic (Watford)**: 25 MP, 5 Saves, 55.6% Save%, 0 CS"
48,Manuel Neuer,Germany,Bayern Munich,5.2,23,31,51,60.8,7,0.97,"**World Cup**: 4 MP, 10 SoTA, 5 Saves, 50.0% Save%, 0 CS | **Domestic (Bayern Munich)**: 23 MP, 31 Saves, 60.8% Save%, 7 CS"
49,Aymen Dahmen,Tunisia,1.tn Ahly Sfaxien,5.2,25,5,12,41.7,0,3.5,"**World Cup**: 3 MP, 12 SoTA, 5 Saves, 41.7% Save%, 0 CS | **Domestic (Ahly Sfaxien)**: 25 MP, 5 Saves, 41.7% Save%, 0 CS"
50,Abduvohid Nematov,Uzbekistan,1.uz FC Nasaf,5.2,25,5,13,38.5,0,4.0,"**World Cup**: 3 MP, 13 SoTA, 5 Saves, 38.5% Save%, 0 CS | **Domestic (FC Nasaf)**: 25 MP, 5 Saves, 38.5% Save%, 0 CS"
51,Mory Diaw,Senegal,Le Havre,5.2,25,80,121,66.1,7,1.39,"**World Cup**: 3 MP, 7 SoTA, 4 Saves, 57.1% Save%, 1 CS | **Domestic (Le Havre)**: 25 MP, 80 Saves, 66.1% Save%, 7 CS"
52,Fernando Muslera,Uruguay,1.tr Galatasaray,5.2,25,4,8,50.0,0,1.6,"**World Cup**: 3 MP, 8 SoTA, 4 Saves, 50.0% Save%, 0 CS | **Domestic (Galatasaray)**: 25 MP, 4 Saves, 50.0% Save%, 0 CS"
